CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
743054	12210.79590	4889365038359	1.55090	-3.01995	12210.68066	0.11523	7091	1	1.50199	-6.26055	1	1.51747	-0.03342	1	1.50973	-3.14699	1	0.30580	0.72827	31.97925	1.00000	1	0.71721	0.80542	29.39669	1.00000	1	-0.02241	-0.01813	0.46719	0.00759	1	0.04145	-0.02557	0.57296	0.00671	1	0.49896	0.49630	0	0
743055	12210.81250	4889365201155	1.54837	-3.05074	12210.68066	0.13184	7091	1	1.51106	-6.58730	1	1.54530	-0.00683	1	1.52818	-3.29707	1	0.30560	0.72873	31.72807	1.00000	1	0.71723	0.80525	29.26737	1.00000	1	-0.02241	-0.01813	0.46719	0.00759	1	0.04145	-0.02557	0.57296	0.00672	1	0.49896	0.49630	0	0
743056	12210.82910	4889365364206	1.54635	-3.07538	12210.68066	0.14844	7091	1	1.51106	-6.58730	1	1.54530	-0.00683	1	1.52818	-3.29707	1	0.30557	0.72893	31.68970	1.00000	1	0.71709	0.80566	29.68044	1.00000	1	-0.02241	-0.01813	0.46719	0.00760	1	0.04145	-0.02557	0.57296	0.00667	1	0.49896	0.49630	0	0
743057	12210.84473	4889365525794	1.54695	-3.09207	12210.68066	0.16406	7091	1	1.54511	-6.47163	1	1.56078	-0.04646	1	1.55295	-3.25905	1	0.30578	0.73069	29.94374	1.00000	1	0.71730	0.80705	30.07739	1.00000	1	-0.02241	-0.01813	0.46719	0.00774	1	0.04145	-0.02557	0.57296	0.00637	1	0.49896	0.49630	0	0
743058	12210.86133	4889365690533	1.54813	-3.10199	12210.68066	0.18066	7091	1	1.54641	-6.31425	1	1.57573	-0.10782	1	1.56107	-3.21104	1	0.30705	0.72886	31.89804	1.00000	1	0.71822	0.80729	30.46477	1.00000	1	-0.02241	-0.01813	0.46719	0.00741	1	0.04145	-0.02557	0.57296	0.00630	1	0.49896	0.49630	0	0
743059	12210.87793	4889365853968	1.54912	-3.11038	12210.68066	0.19727	7091	1	1.54641	-6.31425	1	1.57573	-0.10782	1	1.56107	-3.21104	1	0.30783	0.72921	31.52237	1.00000	1	0.71856	0.80736	30.09429	1.00000	1	-0.02241	-0.01813	0.46719	0.00740	1	0.04145	-0.02557	0.57296	0.00629	1	0.49896	0.49630	0	0
743060	12210.89453	4889366018230	1.55213	-3.12405	12210.68066	0.21387	7091	1	1.61139	-6.40634	1	1.57101	-0.19724	1	1.59120	-3.30179	1	0.30827	0.72832	31.73418	1.00000	1	0.71886	0.80687	29.96919	1.00000	1	-0.02241	-0.01813	0.46719	0.00739	1	0.04145	-0.02557	0.57296	0.00644	1	0.49896	0.49630	0	0
743061	12210.91016	4889366182516	1.56016	-3.16204	12210.68066	0.21387	7091	0	1.65008	-6.34659	1	1.64996	-0.11720	1	1.65002	-3.23190	1	0.30812	0.72819	31.78555	1.00000	1	0.71890	0.80777	29.38461	1.00000	1	-0.02241	-0.01813	0.46719	0.00743	1	0.04145	-0.02557	0.57296	0.00638	1	0.49896	0.49630	0	0
743062	12210.92676	4889366346485	1.60509	-3.19697	12210.68066	0.21387	7091	0	1.65008	-6.34659	1	1.64996	-0.11720	1	1.65002	-3.23190	1	0.30841	0.72728	32.47733	1.00000	1	0.71911	0.80757	29.74720	1.00000	1	-0.02241	-0.01813	0.46719	0.00737	1	0.04145	-0.02557	0.57296	0.00631	1	0.49896	0.49630	0	0
743063	12210.94336	4889366511761	1.61757	-3.06748	12210.68066	0.21387	7091	0	1.77949	-5.38321	1	1.50554	-0.23380	1	1.64251	-2.80850	1	0.30878	0.72923	29.63574	1.00000	1	0.71923	0.80679	29.97992	1.00000	1	-0.02241	-0.01813	0.46719	0.00755	1	0.04145	-0.02557	0.57296	0.00638	1	0.49896	0.49630	0	0
743064	12210.95996	4889366674897	1.65276	-2.93444	12210.68066	0.21387	7091	0	1.79924	-5.37216	1	1.53222	-0.15366	1	1.66573	-2.76291	1	0.30905	0.72887	29.68705	1.00000	1	0.71931	0.80675	30.00861	1.00000	1	-0.02241	-0.01813	0.46719	0.00770	1	0.04145	-0.02557	0.57296	0.00640	1	0.49896	0.49630	0	0
743065	12210.97656	4889366840503	1.65924	-2.84867	12210.68066	0.21387	7091	0	1.79924	-5.37216	1	1.53222	-0.15366	1	1.66573	-2.76291	1	0.30883	0.72758	31.46328	1.00000	1	0.71947	0.80645	29.82838	1.00000	1	-0.02241	-0.01813	0.46719	0.00750	1	0.04145	-0.02557	0.57296	0.00641	1	0.49896	0.49630	0	0
743066	12210.99316	4889367004255	1.64645	-3.02036	12210.68066	0.21387	7091	0	1.70521	-6.53690	1	1.53653	-0.19055	1	1.62087	-3.36373	1	0.30926	0.72717	31.51051	1.00000	1	0.71985	0.80710	29.58541	1.00000	1	-0.02241	-0.01813	0.46719	0.00739	1	0.04145	-0.02557	0.57296	0.00633	1	0.49896	0.49630	0	0
743067	12211.00879	4889367168564	1.64189	-3.15586	12210.68066	0.21387	7091	0	1.68314	-6.56238	1	1.59498	-0.11951	1	1.63906	-3.34095	1	0.30938	0.72732	31.34730	1.00000	1	0.72007	0.80683	30.28682	1.00000	1	-0.02241	-0.01813	0.46719	0.00745	1	0.04145	-0.02557	0.57296	0.00632	1	0.49896	0.49630	0	0
743068	12211.02539	4889367332641	1.64047	-3.24841	12210.68066	0.21387	7091	0	1.68314	-6.56238	1	1.59498	-0.11951	1	1.63906	-3.34095	1	0.30944	0.72720	31.55581	1.00000	1	0.72018	0.80659	30.27569	1.00000	1	-0.02241	-0.01813	0.46719	0.00743	1	0.04145	-0.02557	0.57296	0.00634	1	0.49896	0.49630	0	0
743069	12211.04199	4889367496487	1.64770	-3.21799	12210.68066	0.21387	7091	0	1.75547	-6.23116	1	1.56882	-0.08317	1	1.66214	-3.15717	1	0.30961	0.72761	31.24404	1.00000	1	0.72020	0.80674	30.19463	1.00000	1	-0.02241	-0.01813	0.46719	0.00745	1	0.04145	-0.02557	0.57296	0.00626	1	0.49896	0.49630	0	0
743070	12211.05859	4889367661019	1.63104	-3.34856	12210.68066	0.21387	7091	0	1.67275	-6.83061	1	1.51109	-0.26454	1	1.59192	-3.54757	1	0.30975	0.72721	31.63870	1.00000	1	0.72025	0.80662	30.06560	1.00000	1	-0.02241	-0.01813	0.46719	0.00746	1	0.04145	-0.02557	0.57296	0.00641	1	0.49896	0.49630	0	0
743071	12211.07520	4889367824901	1.61148	-3.44807	12210.68066	0.21387	7091	0	1.67275	-6.83061	1	1.51109	-0.26454	1	1.59192	-3.54757	1	0.30965	0.72737	31.56688	1.00000	1	0.72035	0.80666	29.90624	1.00000	1	-0.02241	-0.01813	0.46719	0.00754	1	0.04145	-0.02557	0.57296	0.00642	1	0.49896	0.49630	0	0
743072	12211.09082	4889367989206	1.61477	-3.43295	12210.68066	0.21387	7091	0	1.70897	-6.71290	1	1.53370	-0.09256	1	1.62134	-3.40273	1	0.31012	0.72756	31.09475	1.00000	1	0.72057	0.80664	30.03520	1.00000	1	-0.02241	-0.01813	0.46719	0.00756	1	0.04145	-0.02557	0.57296	0.00642	1	0.49896	0.49630	0	0
743073	12211.10742	4889368154725	1.60152	-3.40688	12211.05859	0.04883	7092	1	1.69071	-6.41623	1	1.43287	-0.24112	1	1.56179	-3.32868	1	0.31009	0.72754	31.47065	1.00000	1	0.72065	0.80680	29.99466	1.00000	1	-0.02241	-0.01813	0.46719	0.00749	1	0.04145	-0.02557	0.57296	0.00640	1	0.49896	0.49630	0	0
743074	12211.12402	4889368320257	1.59358	-3.39124	12211.05859	0.06543	7092	1	1.69071	-6.41623	1	1.43287	-0.24112	1	1.56179	-3.32868	1	0.31010	0.72760	31.46585	1.00000	1	0.72082	0.80704	29.98985	1.00000	1	-0.02241	-0.01813	0.46719	0.00752	1	0.04145	-0.02557	0.57296	0.00640	1	0.49896	0.49630	0	0
743075	12211.14062	4889368483923	1.59890	-3.35113	12211.05859	0.08203	7092	1	1.72714	-6.14652	1	1.52393	-0.15458	1	1.62554	-3.15055	1	0.31065	0.72906	29.85399	1.00000	1	0.72114	0.80809	29.67651	1.00000	1	-0.02241	-0.01813	0.46719	0.00758	1	0.04145	-0.02557	0.57296	0.00632	1	0.49896	0.49630	0	0
743076	12211.15723	4889368647681	1.60639	-3.31103	12211.05859	0.09863	7092	1	1.75799	-6.00243	1	1.54462	-0.13844	1	1.65130	-3.07044	1	0.31076	0.72908	30.07048	1.00000	1	0.72108	0.80728	30.33014	1.00000	1	-0.02241	-0.01813	0.46719	0.00759	1	0.04145	-0.02557	0.57296	0.00644	1	0.49896	0.49630	0	0
743077	12211.17383	4889368811552	1.61200	-3.28096	12211.05859	0.11523	7092	1	1.75799	-6.00243	1	1.54462	-0.13844	1	1.65130	-3.07044	1	0.31074	0.72933	30.19766	1.00000	1	0.72110	0.80732	30.40844	1.00000	1	-0.02241	-0.01813	0.46719	0.00757	1	0.04145	-0.02557	0.57296	0.00646	1	0.49896	0.49630	0	0
743078	12211.19043	4889368976648	1.62556	-3.22092	12211.05859	0.13184	7092	1	1.87611	-5.35528	1	1.59183	-0.12600	1	1.73397	-2.74064	1	0.31106	0.72958	29.49580	1.00000	1	0.72138	0.80741	30.25064	1.00000	1	-0.02241	-0.01813	0.46719	0.00756	1	0.04145	-0.02557	0.57296	0.00639	1	0.49896	0.49630	0	0
743079	12211.20605	4889369140495	1.63344	-3.19136	12211.05859	0.14746	7092	1	1.81490	-5.69640	1	1.59389	-0.15416	1	1.70439	-2.92528	1	0.31109	0.72947	29.58823	1.00000	1	0.72141	0.80821	29.58557	1.00000	1	-0.02241	-0.01813	0.46719	0.00754	1	0.04145	-0.02557	0.57296	0.00634	1	0.49896	0.49630	0	0
743080	12211.22266	4889369303814	1.63989	-3.16717	12211.05859	0.16406	7092	1	1.81490	-5.69640	1	1.59389	-0.15416	1	1.70439	-2.92528	1	0.31113	0.72953	29.64492	1.00000	1	0.72141	0.80825	29.55516	1.00000	1	-0.02241	-0.01813	0.46719	0.00754	1	0.04145	-0.02557	0.57296	0.00634	1	0.49896	0.49630	0	0
743081	12211.23926	4889369467999	1.64688	-3.15435	12211.05859	0.18066	7092	1	1.82496	-5.89366	1	1.62253	-0.13295	1	1.72374	-3.01331	1	0.31118	0.72932	29.77607	1.00000	1	0.72149	0.80820	29.64717	1.00000	1	-0.02241	-0.01813	0.46719	0.00756	1	0.04145	-0.02557	0.57296	0.00633	1	0.49896	0.49630	0	0
743082	12211.25586	4889369631760	1.65501	-3.13208	12211.05859	0.19727	7092	1	1.87653	-5.58790	1	1.62856	-0.14197	1	1.75254	-2.86494	1	0.31136	0.72918	29.64334	1.00000	1	0.72163	0.80759	30.18261	1.00000	1	-0.02241	-0.01813	0.46719	0.00766	1	0.04145	-0.02557	0.57296	0.00635	1	0.49896	0.49630	0	0
743083	12211.27148	4889369796106	1.67039	-3.05716	12211.05859	0.19727	7092	0	1.87653	-5.58790	1	1.62856	-0.14197	1	1.75254	-2.86494	1	0.31123	0.72793	31.11584	1.00000	1	0.72195	0.80732	30.05613	1.00000	1	-0.02241	-0.01813	0.46719	0.00748	1	0.04145	-0.02557	0.57296	0.00631	1	0.49896	0.49630	0	0
743084	12211.28809	4889369960960	1.61225	-3.43942	12211.05859	0.19727	7092	0	1.48938	-7.56310	1	1.61882	-0.08026	1	1.55410	-3.82168	1	0.31075	0.72709	31.55843	1.00000	1	0.72108	0.80720	29.69350	1.00000	1	-0.02241	-0.01813	0.46719	0.00755	1	0.04145	-0.02557	0.57296	0.00637	1	0.49896	0.49630	0	0
743085	12211.30469	4889370125125	1.61302	-3.58624	12211.05859	0.19727	7092	0	1.67863	-7.66227	1	1.55052	-0.09746	1	1.61457	-3.87987	1	0.30983	0.72736	31.12519	1.00000	1	0.72047	0.80659	30.14159	1.00000	1	-0.02241	-0.01813	0.46719	0.00768	1	0.04145	-0.02557	0.57296	0.00642	1	0.49896	0.49630	0	0
743086	12211.32129	4889370289289	1.59442	-3.86047	12211.05859	0.19727	7092	0	1.67863	-7.66227	1	1.55052	-0.09746	1	1.61457	-3.87987	1	0.30951	0.72705	31.47102	1.00000	1	0.72033	0.80617	29.83784	1.00000	1	-0.02241	-0.01813	0.46719	0.00763	1	0.04145	-0.02557	0.57296	0.00654	1	0.49896	0.49630	0	0
743087	12211.33789	4889370454262	1.58737	-3.44760	12211.05859	0.19727	7092	0	1.65171	-5.97371	1	1.50895	-0.09575	1	1.58033	-3.03473	1	0.31004	0.72850	29.77825	1.00000	1	0.72029	0.80685	30.09816	1.00000	1	-0.02241	-0.01813	0.46719	0.00774	1	0.04145	-0.02557	0.57296	0.00640	1	0.49896	0.49630	0	0
743088	12211.35449	4889370618904	1.61185	-3.10600	12211.05859	0.19727	7092	0	1.81617	-4.78064	1	1.50542	-0.06497	1	1.66080	-2.42281	1	0.31027	0.72855	30.21937	1.00000	1	0.72037	0.80683	30.01370	1.00000	1	-0.02241	-0.01813	0.46719	0.00766	1	0.04145	-0.02557	0.57296	0.00643	1	0.49896	0.49630	0	0
743089	12211.37109	4889370782866	1.63398	-2.62678	12211.05859	0.19727	7092	0	1.81617	-4.78064	1	1.50542	-0.06497	1	1.66080	-2.42281	1	0.31038	0.72884	29.78222	1.00000	1	0.72057	0.80693	30.12690	1.00000	1	-0.02241	-0.01813	0.46719	0.00768	1	0.04145	-0.02557	0.57296	0.00651	1	0.49896	0.49630	0	0
743090	12211.38672	4889370947622	1.65918	-2.47634	12211.05859	0.19727	7092	0	1.84638	-4.60730	1	1.52238	-0.04451	1	1.68438	-2.32590	1	0.31085	0.72873	29.86479	1.00000	1	0.72081	0.80695	29.90236	1.00000	1	-0.02241	-0.01813	0.46719	0.00783	1	0.04145	-0.02557	0.57296	0.00650	1	0.49896	0.49630	0	0
743091	12211.40332	4889371111425	1.67981	-2.38660	12211.05859	0.19727	7092	0	1.88501	-4.43511	1	1.55716	0.02086	1	1.72109	-2.20713	1	0.31093	0.72906	30.46062	1.00000	1	0.72075	0.80703	29.82260	1.00000	1	-0.02241	-0.01813	0.46719	0.00777	1	0.04145	-0.02557	0.57296	0.00650	1	0.49896	0.49630	0	0
743092	12211.41992	4889371276444	1.70885	-2.24672	12211.05859	0.19727	7092	0	1.88501	-4.43511	1	1.55716	0.02086	1	1.72109	-2.20713	1	0.31114	0.72916	30.32006	1.00000	1	0.72123	0.80763	29.72137	1.00000	1	-0.02241	-0.01813	0.46719	0.00784	1	0.04145	-0.02557	0.57296	0.00640	1	0.49896	0.49630	0	0
743093	12211.43652	4889371440019	1.72343	-2.18281	12211.05859	0.19727	7092	0	1.86097	-4.32675	1	1.61503	0.08895	1	1.73800	-2.11890	1	0.31126	0.72951	30.11152	1.00000	1	0.72162	0.80674	29.84515	1.00000	1	-0.02241	-0.01813	0.46719	0.00770	1	0.04145	-0.02557	0.57296	0.00649	1	0.49896	0.49630	0	0
743094	12211.45312	4889371604164	1.72143	-2.29486	12211.05859	0.19727	7092	0	1.84945	-5.04188	1	1.58542	0.00397	1	1.71743	-2.51895	1	0.31129	0.72945	30.21128	1.00000	1	0.72153	0.80577	29.66849	1.00000	1	-0.02241	-0.01813	0.46719	0.00770	1	0.04145	-0.02557	0.57296	0.00675	1	0.49896	0.49630	0	0
743095	12211.46875	4889371768972	1.72429	-2.38560	12211.05859	0.19727	7092	0	1.84945	-5.04188	1	1.58542	0.00397	1	1.71743	-2.51895	1	0.31135	0.72953	30.06155	1.00000	1	0.72161	0.80520	29.83089	1.00000	1	-0.02241	-0.01813	0.46719	0.00773	1	0.04145	-0.02557	0.57296	0.00686	1	0.49896	0.49630	0	0
