,CNT,TIME,TIME_TICK,FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,LEYEX,LEYEY,LEYEZ,LPUPILD,LPUPILV,REYEX,REYEY,REYEZ,RPUPILD,RPUPILV,CX,CY,CS,USER
1760,744814,12239.70996,4889654180850,1723.328,162.07232,12238.60938,0.11523,7172,0,1.17838,0.42806000000000005,1,4.94076,2.08963,0,1.17838,0.42806000000000005,1,0.67774,0.92214,9.68717,1.0,1,0.72208,0.77687,11.71983,1.0,0,-0.02241,-0.01813,0.46718999999999994,0.00355,1,0.04145,-0.02557,0.57296,0.00432,1,0.49896,0.4963,0,0
1761,744815,12239.72656,4889654345401,1733.76,150.70592,12238.60938,0.11523,7172,0,0.9567399999999999,-0.49662,1,4.94076,2.08963,0,0.9567399999999999,-0.49662,1,0.67747,0.9225,9.7918,1.0,1,0.72208,0.77687,11.71983,1.0,0,-0.02241,-0.01813,0.46718999999999994,0.00345,1,0.04145,-0.02557,0.57296,0.00432,1,0.49896,0.4963,0,0
1912,744966,12242.20801,4889679152606,1777.1136000000001,901.1648,12238.60938,0.11523,7172,0,2.27674,1.7054099999999999,1,0.0098,2.30571,0,2.27674,1.7054099999999999,1,0.72846,0.72985,28.09817,1.0,1,0.65746,0.9195200000000001,9.275039999999999,1.0,0,-0.02241,-0.01813,0.46718999999999994,0.00496,1,0.04145,-0.02557,0.57296,0.0019199999999999998,1,0.49896,0.4963,0,0
1915,744969,12242.25684,4889679646721,1393.5104,781.01888,12238.60938,0.11523,7172,0,0.26674000000000003,0.0672,1,0.50877,0.24568,1,0.38776,0.15644,1,0.32382,0.64963,31.71777,1.0,1,0.72529,0.73106,28.08131,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.00746,1,0.04145,-0.02557,0.57296,0.00636,1,0.49896,0.4963,0,0
1916,744970,12242.27344,4889679810283,1201.1136,583.4073599999999,12238.60938,0.11523,7172,0,0.26674000000000003,0.0672,1,0.50877,0.24568,1,0.38776,0.15644,1,0.32315,0.64893,31.91439,1.0,1,0.72469,0.73143,28.12412,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.00735,1,0.04145,-0.02557,0.57296,0.006379999999999999,1,0.49896,0.4963,0,0
1917,744971,12242.29004,4889679974905,861.9008,230.30143999999999,12238.60938,0.11523,7172,0,0.45169,0.30494,1,0.53745,0.25464000000000003,1,0.49456999999999995,0.27979,1,0.32193,0.64866,30.6354,1.0,1,0.72329,0.73052,27.9927,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.00748,1,0.04145,-0.02557,0.57296,0.00646,1,0.49896,0.4963,0,0
1918,744972,12242.30664,4889680139345,860.864,255.90143999999998,12238.60938,0.11523,7172,0,0.30115,0.15478,1,0.5423100000000001,0.34034000000000003,1,0.42173,0.24756,1,0.3212,0.64708,31.85468,1.0,1,0.72273,0.73033,27.93035,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.00743,1,0.04145,-0.02557,0.57296,0.00645,1,0.49896,0.4963,0,0
1919,744973,12242.32227,4889680302750,860.5056,264.43136000000004,12238.60938,0.11523,7172,0,0.30115,0.15478,1,0.5423100000000001,0.34034000000000003,1,0.42173,0.24756,1,0.32053000000000004,0.64658,32.0442,1.0,1,0.72226,0.73044,27.88513,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.00733,1,0.04145,-0.02557,0.57296,0.00639,1,0.49896,0.4963,0,0
1920,744974,12242.33887,4889680467036,883.5968,276.7808,12242.29004,0.04883,7173,1,0.50956,0.30304000000000003,1,0.47931,0.25523,1,0.49443000000000004,0.27914,1,0.3197,0.64679,30.766990000000003,1.0,1,0.72146,0.7295699999999999,27.893829999999998,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.007509999999999999,1,0.04145,-0.02557,0.57296,0.006490000000000001,1,0.49896,0.4963,0,0
1921,744975,12242.35547,4889680632030,865.3184,258.07232,12242.29004,0.06543,7173,1,0.22833,0.0819,1,0.50942,0.22129000000000001,1,0.36887,0.1516,1,0.31926,0.64593,31.673540000000003,1.0,1,0.72117,0.72915,27.97465,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.00742,1,0.04145,-0.02557,0.57296,0.00643,1,0.49896,0.4963,0,0
1922,744976,12242.37207,4889680796801,853.12,245.6,12242.29004,0.08202999999999999,7173,1,0.22833,0.0819,1,0.50942,0.22129000000000001,1,0.36887,0.1516,1,0.3191,0.64551,31.88705,1.0,1,0.7209800000000001,0.72887,28.033170000000002,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.007390000000000001,1,0.04145,-0.02557,0.57296,0.00647,1,0.49896,0.4963,0,0
1923,744977,12242.38867,4889680960332,851.2256,245.62048,12242.29004,0.09863,7173,1,0.24299,0.14856,1,0.5693199999999999,0.2767,1,0.40615999999999997,0.21263,1,0.31859,0.6459,31.47875,1.0,1,0.72054,0.72788,28.07817,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.00742,1,0.04145,-0.02557,0.57296,0.00655,1,0.49896,0.4963,0,0
1924,744978,12242.4043,4889681124272,866.4064000000001,266.4896,12242.29004,0.11425999999999999,7173,1,0.45737,0.40962,1,0.5623199999999999,0.34148,1,0.50985,0.37555,1,0.31844,0.64612,31.40075,1.0,1,0.72065,0.7278100000000001,27.97883,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.00747,1,0.04145,-0.02557,0.57296,0.00656,1,0.49896,0.4963,0,0
1925,744979,12242.4209,4889681288276,878.208,282.72,12242.29004,0.13086,7173,1,0.45737,0.40962,1,0.5623199999999999,0.34148,1,0.50985,0.37555,1,0.31865,0.64673,31.005309999999998,1.0,1,0.7207399999999999,0.72825,28.08871,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.00745,1,0.04145,-0.02557,0.57296,0.00642,1,0.49896,0.4963,0,0
1926,744980,12242.4375,4889681453250,941.12,323.02464,12242.29004,0.14745999999999998,7173,1,1.37097,0.9174399999999999,1,0.48435,0.36724,1,0.92766,0.6423399999999999,1,0.31908000000000003,0.64746,32.4054,1.0,1,0.72137,0.72942,28.19831,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.007359999999999999,1,0.04145,-0.02557,0.57296,0.0065,1,0.49896,0.4963,0,0
1927,744981,12242.4541,4889681616863,994.9824,376.16,12242.29004,0.16405999999999998,7173,1,1.4020700000000001,1.19766,1,0.49422,0.5201399999999999,1,0.94814,0.8589,1,0.3198,0.65232,33.67369,1.0,1,0.72122,0.73378,28.415129999999998,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.00733,1,0.04145,-0.02557,0.57296,0.0066,1,0.49896,0.4963,0,0
1928,744982,12242.4707,4889681782532,1039.872,420.43776,12242.29004,0.18066,7173,1,1.4020700000000001,1.19766,1,0.49422,0.5201399999999999,1,0.94814,0.8589,1,0.31997,0.65571,33.349959999999996,1.0,1,0.72126,0.73598,28.43655,1.0,1,-0.02241,-0.01813,0.46718999999999994,0.00746,1,0.04145,-0.02557,0.57296,0.00672,1,0.49896,0.4963,0,0
