,CNT,TIME,TIME_TICK,FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,USER,IMGID,FPOGXp,FPOGYp
0,64755,1065.19641,4627242220590,0.49189,0.52036,1064.88354,0.31287,779,1,0.50977,0.56708,1,0.41621,0.5892,1,0.33865,0.7214,25.12094,1.00893,1,0.70134,0.74188,27.99486,1.00893,1,TRIALSTART 0,IMG22.PNG,306.9957818181818,421.68058181818185
1,64756,1065.21204,4627242377075,0.48841,0.51787,1064.88354,0.32849,779,1,0.47353,0.54967,1,0.36411,0.38649,1,0.33526,0.722,25.68964,1.00893,1,0.69786,0.74292,27.92292,1.00893,1,IMAGENAME IMG22.PNG,IMG22.PNG,303.75621818181816,419.3626181818182
2,64757,1065.22839,4627242540689,0.48871,0.52113,1064.88354,0.34485,779,1,0.52615,0.63482,1,0.46355,0.54437,1,0.33315,0.72323,25.14783,1.00893,1,0.69581,0.74365,28.18371,1.00893,1,0,IMG22.PNG,304.03549090909087,422.39738181818177
3,64758,1065.245,4627242706703,0.48897,0.52411,1064.88354,0.36145,779,1,0.52615,0.63482,1,0.46355,0.54437,1,0.33207,0.72332,25.80169,1.00893,1,0.69498,0.74414,28.154,1.00893,1,IMAGE ONLINE AT 117913,IMG22.PNG,304.27752727272724,425.17149090909083
4,64759,1065.26135,4627242869500,0.48763,0.5251,1064.88354,0.37781,779,1,0.47814,0.55405,1,0.43547,0.54153,1,0.32847,0.72556,25.2084,1.00893,1,0.69148,0.74568,27.73736,1.00893,1,0,IMG22.PNG,303.0301090909091,426.0930909090909
5,64760,1065.27783,4627243034407,0.48884,0.52201,1064.88354,0.39429,779,1,0.52303,0.52874,1,0.51243,0.36683,1,0.32675,0.72587,25.5253,1.00893,1,0.68965,0.74668,28.09496,1.00893,1,0,IMG22.PNG,304.1565090909091,423.21658181818174
6,64761,1065.29407,4627243197532,0.48995,0.51915,1064.88354,0.41052,779,1,0.52303,0.52874,1,0.51243,0.36683,1,0.32555,0.72632,25.55969,1.00893,1,0.68879,0.7472,28.118,1.00893,1,0,IMG22.PNG,305.18981818181817,420.5541818181818
7,64762,1065.31055,4627243362379,0.48911,0.51845,1064.88354,0.427,779,1,0.52695,0.444,1,0.40764,0.55635,1,0.32269,0.72681,25.35527,1.00893,1,0.68606,0.74787,27.95771,1.00893,1,0,IMG22.PNG,304.4078545454545,419.90254545454536
8,64763,1065.32703,4627243526597,0.48904,0.5201,1064.88354,0.44348,779,1,0.46703,0.5182,1,0.50715,0.6112,1,0.32151,0.7266,25.42394,1.00893,1,0.68478,0.74869,28.02855,1.00893,1,0,IMG22.PNG,304.34269090909083,421.4385454545454
9,64764,1065.34363,4627243692322,0.48897,0.52164,1064.88354,0.46008,779,1,0.46703,0.5182,1,0.50715,0.6112,1,0.32082,0.72688,25.32862,1.00893,1,0.68404,0.74908,28.2284,1.00893,1,0,IMG22.PNG,304.27752727272724,422.87214545454543
