CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
6968377	145619.67188	3766142864650	-1.38231	0.71468	145619.43750	0.23438	4886	1	-1.12149	0.86215	1	-1.64314	0.56722	1	-1.38231	0.71468	1	0.13943	0.81653	32.54766	1.00000	1	0.57404	0.83846	31.03530	1.00000	1	-0.04041	-0.02386	0.57962	0.00651	1	0.02878	-0.02302	0.59161	0.00672	1	0.64062	0.37500	0	0
6968378	145619.68750	3766143007572	-1.38231	0.71468	145619.43750	0.25000	4886	1	-1.12149	0.86215	1	-1.64314	0.56722	1	-1.38231	0.71468	1	0.13943	0.81653	32.54766	1.00000	1	0.57404	0.83846	31.03530	1.00000	1	-0.04041	-0.02386	0.57962	0.00651	1	0.02878	-0.02302	0.59161	0.00672	1	0.64062	0.37500	0	0
6968379	145619.70312	3766143198109	-1.38231	0.71468	145619.43750	0.26562	4886	1	-1.12149	0.86215	1	-1.64314	0.56722	1	-1.38231	0.71468	1	0.13943	0.81653	32.54766	1.00000	1	0.57404	0.83846	31.03530	1.00000	1	-0.04041	-0.02386	0.57962	0.00651	1	0.02878	-0.02302	0.59161	0.00672	1	0.64062	0.37500	0	0
6968380	145619.71875	3766143389683	-1.38231	0.71468	145619.43750	0.28125	4886	1	-1.12149	0.86215	1	-1.64314	0.56722	1	-1.38231	0.71468	1	0.13943	0.81653	32.54766	1.00000	1	0.57404	0.83846	31.03530	1.00000	1	-0.04041	-0.02386	0.57962	0.00651	1	0.02878	-0.02302	0.59161	0.00672	1	0.64062	0.37500	0	0
6968381	145619.73438	3766143508936	-1.38231	0.71468	145619.43750	0.29688	4886	1	-1.12149	0.86215	1	-1.64314	0.56722	1	-1.38231	0.71468	1	0.13943	0.81653	32.54766	1.00000	1	0.57404	0.83846	31.03530	1.00000	1	-0.04041	-0.02386	0.57962	0.00651	1	0.02878	-0.02302	0.59161	0.00672	1	0.64062	0.37500	0	0
6968382	145619.78125	3766143927124	-1.38231	0.71468	145619.43750	0.34375	4886	1	-1.12149	0.86215	1	-1.64314	0.56722	1	-1.38231	0.71468	1	0.13866	0.81696	32.01999	1.00000	1	0.57356	0.83866	30.74556	1.00000	1	-0.04041	-0.02386	0.57962	0.00651	1	0.02878	-0.02302	0.59161	0.00671	1	0.64062	0.37500	0	0
6968383	145619.79688	3766144088160	-1.38280	0.71591	145619.43750	0.35938	4886	1	-1.12280	0.94371	1	-1.66246	0.53701	1	-1.39263	0.74036	1	0.13680	0.82051	31.23612	1.00000	1	0.57314	0.83982	30.75627	1.00000	1	-0.04041	-0.02386	0.57962	0.00625	1	0.02878	-0.02302	0.59161	0.00655	1	0.64062	0.37500	0	0
6968384	145619.81250	3766144253040	-1.37949	0.71767	145619.43750	0.37500	4886	1	-1.07422	0.92236	1	-1.54558	0.58692	1	-1.30990	0.75464	1	0.13663	0.82062	31.13892	1.00000	1	0.57308	0.83976	30.76202	1.00000	1	-0.04041	-0.02386	0.57962	0.00630	1	0.02878	-0.02302	0.59161	0.00657	1	0.64062	0.37500	0	0
6968385	145619.82812	3766144417623	-1.37646	0.71927	145619.43750	0.39062	4886	1	-1.07422	0.92236	1	-1.54558	0.58692	1	-1.30990	0.75464	1	0.13659	0.82064	31.23004	1.00000	1	0.57297	0.83972	30.69141	1.00000	1	-0.04041	-0.02386	0.57962	0.00628	1	0.02878	-0.02302	0.59161	0.00658	1	0.64062	0.37500	0	0
6968386	145619.84375	3766144581776	-1.37353	0.72262	145619.43750	0.40625	4886	1	-1.04599	1.02483	1	-1.56616	0.57413	1	-1.30607	0.79948	1	0.13640	0.82104	31.19290	1.00000	1	0.57289	0.83964	30.57503	1.00000	1	-0.04041	-0.02386	0.57962	0.00620	1	0.02878	-0.02302	0.59161	0.00658	1	0.64062	0.37500	0	0
6968387	145619.85938	3766144745513	-1.37019	0.72619	145619.43750	0.42188	4886	1	-1.02473	1.04746	1	-1.55541	0.57660	1	-1.29007	0.81203	1	0.13648	0.82120	31.24733	1.00000	1	0.57301	0.83951	30.79889	1.00000	1	-0.04041	-0.02386	0.57962	0.00617	1	0.02878	-0.02302	0.59161	0.00658	1	0.64062	0.37500	0	0
6968388	145619.87500	3766144909141	-1.36711	0.72949	145619.43750	0.43750	4886	1	-1.02473	1.04746	1	-1.55541	0.57660	1	-1.29007	0.81203	1	0.13669	0.82091	31.25681	1.00000	1	0.57302	0.83948	30.94984	1.00000	1	-0.04041	-0.02386	0.57962	0.00622	1	0.02878	-0.02302	0.59161	0.00658	1	0.64062	0.37500	0	0
6968389	145619.89062	3766145074901	-1.37526	0.72747	145619.43750	0.45312	4886	1	-1.28828	0.88082	1	-1.88588	0.46889	1	-1.58708	0.67486	1	0.13561	0.82213	29.53172	1.00000	1	0.57114	0.83997	30.99128	1.00000	1	-0.04041	-0.02386	0.57962	0.00623	1	0.02878	-0.02302	0.59161	0.00647	1	0.64062	0.37500	0	0
6968390	145619.90625	3766145239022	-1.38515	0.72684	145619.43750	0.46875	4886	1	-1.28964	1.01098	1	-2.01499	0.40848	1	-1.65232	0.70973	1	0.13436	0.82236	28.53505	1.00000	1	0.56907	0.84018	30.33316	1.00000	1	-0.04041	-0.02386	0.57962	0.00615	1	0.02878	-0.02302	0.59161	0.00634	1	0.64062	0.37500	0	0
6968391	145619.92188	3766145403419	-1.39436	0.72625	145619.43750	0.48438	4886	1	-1.28964	1.01098	1	-2.01499	0.40848	1	-1.65232	0.70973	1	0.13311	0.82259	28.20063	1.00000	1	0.56800	0.84020	30.35842	1.00000	1	-0.04041	-0.02386	0.57962	0.00608	1	0.02878	-0.02302	0.59161	0.00628	1	0.64062	0.37500	0	0
6968392	145619.93750	3766145566814	-1.43023	0.74550	145619.43750	0.48438	4886	0	-1.34052	0.96639	1	-1.87490	0.53179	1	-1.60771	0.74909	1	0.13294	0.82250	28.16607	1.00000	1	0.56832	0.84010	30.08940	1.00000	1	-0.04041	-0.02386	0.57962	0.00614	1	0.02878	-0.02302	0.59161	0.00634	1	0.64062	0.37500	0	0
6968393	145619.95312	3766145731395	-1.49885	0.76121	145619.43750	0.48438	4886	0	-1.28754	1.00804	1	-1.84741	0.54579	1	-1.56747	0.77692	1	0.13295	0.82234	28.28769	1.00000	1	0.56855	0.83981	30.25511	1.00000	1	-0.04041	-0.02386	0.57962	0.00613	1	0.02878	-0.02302	0.59161	0.00633	1	0.64062	0.37500	0	0
6968394	145619.96875	3766145896066	-1.52172	0.76644	145619.43750	0.48438	4886	0	-1.28754	1.00804	1	-1.84741	0.54579	1	-1.56747	0.77692	1	0.13351	0.82192	28.04605	1.00000	1	0.56891	0.83982	30.13214	1.00000	1	-0.04041	-0.02386	0.57962	0.00608	1	0.02878	-0.02302	0.59161	0.00636	1	0.64062	0.37500	0	0
