               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1033,            0.029244,                   0,           0.0018568,             0.55556,           0.0010453,          0.00013025,            0.054625,             0.02072,                   0,             0.00018,             0.00018,             0.09838
                   1,              0.1015,            0.029623,                   0,           0.0027175,             0.44444,           0.0019762,          0.00032426,            0.051076,            0.021237,                   0,          0.00036999,          0.00036999,             0.09667
                   2,            0.098081,            0.028161,                   0,            0.014394,             0.11111,           0.0040986,          0.00043031,            0.047382,            0.020214,                   0,          0.00055995,          0.00055995,             0.09496
                   3,            0.091299,            0.030863,                   0,             0.23074,             0.22222,            0.068292,           0.0090669,            0.046197,             0.01923,                   0,          0.00074985,          0.00074985,             0.09325
                   4,            0.080873,               0.031,                   0,            0.052117,             0.44444,            0.038833,           0.0057472,            0.045811,            0.018373,                   0,          0.00093967,          0.00093967,             0.09154
                   5,            0.079061,            0.033398,                   0,            0.061197,             0.44444,            0.036717,           0.0064932,            0.045478,             0.01754,                   0,           0.0011294,           0.0011294,            0.089829
                   6,            0.070033,            0.028983,                   0,              0.5985,             0.33167,             0.41276,             0.11443,            0.040146,            0.018944,                   0,            0.001319,            0.001319,            0.088119
                   7,            0.064364,             0.03145,                   0,             0.99521,             0.55556,             0.64957,             0.24324,            0.030829,              0.0193,                   0,           0.0015084,           0.0015084,            0.086408
                   8,            0.065184,            0.029719,                   0,             0.74518,             0.65168,             0.68143,             0.31624,            0.033909,            0.017873,                   0,           0.0016976,           0.0016976,            0.084698
                   9,            0.072608,             0.03531,                   0,             0.56783,             0.44444,             0.43781,             0.16927,            0.025809,            0.017365,                   0,           0.0018866,           0.0018866,            0.082987
                  10,            0.065936,            0.037993,                   0,             0.99872,             0.44444,             0.55984,             0.28162,            0.024139,            0.017043,                   0,           0.0020754,           0.0020754,            0.081275
                  11,            0.060094,            0.028023,                   0,             0.71302,             0.55556,             0.59087,             0.21633,            0.023102,            0.016504,                   0,            0.002264,            0.002264,            0.079564
                  12,            0.059404,            0.036046,                   0,                   1,             0.66606,             0.81884,             0.34192,            0.021444,            0.014993,                   0,           0.0024522,           0.0024522,            0.077852
                  13,            0.054675,            0.025482,                   0,             0.49902,             0.66428,             0.59438,             0.26296,            0.026118,            0.012243,                   0,           0.0026402,           0.0026402,             0.07614
                  14,            0.060803,            0.029412,                   0,             0.82716,             0.55556,             0.58904,             0.26159,            0.024245,            0.012462,                   0,           0.0028278,           0.0028278,            0.074428
                  15,            0.049115,            0.022676,                   0,             0.58304,             0.77778,             0.55529,             0.25063,            0.033266,            0.010763,                   0,           0.0030151,           0.0030151,            0.072715
                  16,            0.054914,            0.024799,                   0,             0.54454,             0.66667,             0.60707,             0.31862,            0.026174,           0.0094105,                   0,            0.003202,            0.003202,            0.071002
                  17,            0.051897,            0.025174,                   0,              0.7494,             0.33253,             0.40029,             0.20559,              0.0273,            0.010971,                   0,           0.0033884,           0.0033884,            0.069288
                  18,             0.04546,            0.023452,                   0,             0.44303,             0.44444,             0.42339,             0.11201,            0.026185,            0.010525,                   0,           0.0035745,           0.0035745,            0.067574
                  19,             0.04962,            0.020718,                   0,             0.49842,             0.66667,             0.52994,             0.16531,            0.033561,            0.010051,                   0,           0.0037601,           0.0037601,             0.06586
                  20,            0.053011,            0.023999,                   0,             0.66525,             0.88889,             0.79257,             0.44348,            0.019473,             0.01025,                   0,           0.0039452,           0.0039452,            0.064145
                  21,            0.050761,            0.021607,                   0,             0.44438,             0.44434,               0.428,             0.14917,             0.02807,            0.011201,                   0,           0.0041298,           0.0041298,             0.06243
                  22,             0.04578,            0.021853,                   0,             0.27982,             0.77711,             0.36698,             0.13808,            0.026513,            0.010683,                   0,           0.0043139,           0.0043139,            0.060714
                  23,             0.05308,             0.02118,                   0,              0.6966,             0.77778,             0.75459,             0.45854,            0.020015,           0.0084713,                   0,           0.0044975,           0.0044975,            0.058997
                  24,            0.046425,             0.02116,                   0,             0.49974,             0.77778,             0.48697,             0.21055,            0.021522,           0.0083365,                   0,           0.0046804,           0.0046804,             0.05728
                  25,            0.049642,            0.021547,                   0,             0.85164,             0.66667,             0.80071,             0.35304,            0.024482,           0.0079673,                   0,           0.0048628,           0.0048628,            0.055563
                  26,            0.048865,            0.019405,                   0,             0.42825,             0.66667,             0.53822,             0.14002,            0.030784,           0.0079959,                   0,           0.0050446,           0.0050446,            0.053845
                  27,            0.055162,            0.022329,                   0,             0.66638,             0.66589,             0.67746,             0.23652,             0.01772,           0.0076039,                   0,           0.0052257,           0.0052257,            0.052126
                  28,             0.04289,            0.018803,                   0,             0.99942,             0.66667,              0.7852,             0.22749,            0.023993,           0.0074455,                   0,           0.0054061,           0.0054061,            0.050406
                  29,            0.047377,            0.016597,                   0,             0.87496,             0.77752,             0.83318,             0.22174,             0.02258,           0.0073005,                   0,           0.0055859,           0.0055859,            0.048686
                  30,            0.048771,            0.019296,                   0,             0.58314,             0.77778,             0.63148,             0.29328,            0.025889,           0.0075379,                   0,           0.0057649,           0.0057649,            0.046965
                  31,            0.046348,            0.018568,                   0,                   1,             0.88844,             0.95102,             0.42375,            0.020352,           0.0066974,                   0,           0.0059432,           0.0059432,            0.045243
                  32,            0.046496,            0.018136,                   0,              0.7498,             0.66605,             0.63242,             0.29512,            0.029488,            0.008206,                   0,           0.0061207,           0.0061207,            0.043521
                  33,            0.048872,            0.016578,                   0,             0.69833,             0.77778,             0.66962,             0.40799,            0.029272,           0.0076451,                   0,           0.0062975,           0.0062975,            0.041797
                  34,            0.050153,            0.019664,                   0,             0.79998,             0.88889,             0.79891,             0.47046,            0.024577,            0.007198,                   0,           0.0064734,           0.0064734,            0.040073
                  35,             0.04492,            0.016842,                   0,             0.88829,             0.88889,             0.88779,             0.57003,            0.020109,           0.0074568,                   0,           0.0066485,           0.0066485,            0.038349
                  36,            0.046141,            0.018397,                   0,             0.69211,             0.99915,             0.83062,             0.44714,            0.020308,           0.0067037,                   0,           0.0068228,           0.0068228,            0.036623
                  37,            0.039279,            0.016013,                   0,             0.88869,             0.88889,             0.95529,             0.38366,            0.023674,           0.0067104,                   0,           0.0069962,           0.0069962,            0.034896
                  38,            0.046044,            0.017776,                   0,             0.77777,             0.77776,             0.71759,              0.3894,            0.023183,           0.0079495,                   0,           0.0071687,           0.0071687,            0.033169
                  39,            0.042769,            0.020133,                   0,             0.79995,             0.88889,             0.84017,             0.29384,            0.020764,           0.0056616,                   0,           0.0073403,           0.0073403,             0.03144
                  40,             0.04298,            0.013766,                   0,             0.99946,             0.66667,             0.89102,              0.5833,            0.015416,           0.0052451,                   0,            0.007511,            0.007511,            0.029711
                  41,            0.038326,            0.015071,                   0,             0.88631,             0.88889,             0.93881,              0.5225,            0.018109,           0.0056072,                   0,           0.0076806,           0.0076806,            0.027981
                  42,            0.039954,            0.016996,                   0,             0.53202,             0.88889,             0.72064,             0.23733,            0.025202,           0.0078126,                   0,           0.0078494,           0.0078494,            0.026249
