,CNT,TIME,TIME_TICK,FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,USER,IMGID,FPOGXp,FPOGYp
15,43129,710.77118,967856410760,0.44519,0.49108,710.55792,0.21326,1301,1,0.49661,0.3686,1,0.37755,0.48903,1,0.2866,0.41802,34.5051,1.0,1,0.70831,0.49122,34.58294,1.0,1,0,IMG22.PNG,263.52232727272724,394.4235636363636
16,43130,710.78766,967856575288,0.44465,0.48693,710.55792,0.22974,1301,1,0.49661,0.3686,1,0.37755,0.48903,1,0.28648,0.41796,34.6991,1.0,1,0.70818,0.49107,34.60662,1.0,1,0,IMG22.PNG,263.0196363636363,390.56029090909084
30,43144,711.01758,967858875041,0.46822,0.43116,710.80414,0.21344,1302,1,0.64588,0.32271,1,0.64493,0.3562,1,0.29188,0.41262,32.83129,1.0,1,0.71195,0.48456,33.43154,1.0,1,0,IMG22.PNG,284.96116363636366,338.6434909090909
31,43145,711.034,967859039109,0.48004,0.42504,710.80414,0.22986,1302,1,0.64588,0.32271,1,0.64493,0.3562,1,0.29285,0.41159,32.03204,1.0,1,0.71256,0.48311,33.15744,1.0,1,0,IMG22.PNG,295.9645090909091,332.9463272727272
32,43146,711.05042,967859202874,0.48463,0.4099,710.80414,0.24628,1302,1,0.62242,0.17765,1,0.48454,0.18769,1,0.29452,0.40847,31.03851,1.0,1,0.71402,0.48081,32.37613,1.0,1,0,IMG22.PNG,300.2373818181818,318.8523636363636
49,43163,711.3299,967861998047,0.65529,0.1705,711.11627,0.21362,1303,1,0.55288,0.0213,1,0.6212,0.16453,1,0.301,0.40706,30.64797,1.0,1,0.72065,0.4805,31.06525,1.0,1,0,IMG22.PNG,459.1063272727273,95.99272727272728
50,43164,711.34637,967862162465,0.6341,0.16659,711.11627,0.2301,1303,1,0.35856,0.20422,1,0.31636,0.01924,1,0.29713,0.4065,30.15462,1.0,1,0.71614,0.47982,31.15027,1.0,1,0,IMG22.PNG,439.3803636363636,92.35287272727271
51,43165,711.36267,967862325687,0.61743,0.1626,711.11627,0.2464,1303,1,0.35337,0.1985,1,0.3815,0.00711,1,0.29654,0.40666,30.10174,1.0,1,0.71546,0.47982,30.8614,1.0,1,0,IMG22.PNG,423.8621090909091,88.63854545454544
68,43182,711.64215,967865120496,0.28216,0.11571,711.42847,0.21368,1304,1,0.22196,0.11383,1,0.15924,0.1444,1,0.2876,0.40628,29.56801,1.0,1,0.70718,0.47688,29.84505,1.0,1,0,IMG22.PNG,111.7562181818182,44.98821818181817
69,43183,711.65851,967865283956,0.27356,0.11308,711.42847,0.23004,1304,1,0.23476,0.11281,1,0.07156,0.03989,1,0.28709,0.40625,29.47458,1.0,1,0.70678,0.47673,30.10413,1.0,1,0,IMG22.PNG,103.75040000000001,42.53992727272727
70,43184,711.67493,967865448121,0.26603,0.11079,711.42847,0.24646,1304,1,0.23476,0.11281,1,0.07156,0.03989,1,0.28675,0.40629,29.5319,1.0,1,0.70632,0.47661,29.95485,1.0,1,0,IMG22.PNG,96.74065454545453,40.40814545454545
114,43228,712.39777,967872676892,0.21824,0.12443,712.1842,0.21356,1306,1,0.15597,0.20251,1,0.16361,0.04237,1,0.27986,0.40669,31.18778,1.0,1,0.69977,0.47572,31.58759,1.0,1,0,IMG22.PNG,52.25250909090908,53.10574545454545
115,43229,712.41425,967872841132,0.21434,0.12429,712.1842,0.23004,1306,1,0.15597,0.20251,1,0.16361,0.04237,1,0.27964,0.40687,31.1769,1.0,1,0.69969,0.47573,31.61839,1.0,1,0,IMG22.PNG,48.62196363636364,52.97541818181818
116,43230,712.4306,967873004958,0.21473,0.1298,712.1842,0.2464,1306,1,0.26822,0.18466,1,0.17265,0.24023,1,0.27922,0.40712,31.08046,1.0,1,0.69939,0.47569,31.47568,1.0,1,0,IMG22.PNG,48.985018181818184,58.10472727272727
117,43231,712.44714,967873170244,0.21635,0.1294,712.1842,0.26294,1306,1,0.24394,0.2043,1,0.24065,0.04146,1,0.27917,0.40703,31.2928,1.0,1,0.69923,0.47574,31.65722,1.0,1,0,IMG22.PNG,50.493090909090895,57.73236363636362
118,43232,712.4635,967873334199,0.21779,0.12903,712.1842,0.2793,1306,1,0.24394,0.2043,1,0.24065,0.04146,1,0.27902,0.40718,31.2964,1.0,1,0.69904,0.4758,31.64791,1.0,1,0,IMG22.PNG,51.833600000000004,57.387927272727275
