CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
1046917	17210.99414	2482056087067	-2.57990	-4.18125	17209.80664	0.10352	1671	0	-6.72805	-5.75946	0	-0.65138	-3.52430	1	-0.65138	-3.52430	1	0.19316	0.62476	20.83809	1.00000	1	0.62952	0.64609	24.22128	1.00000	1	-0.08215	-0.02794	0.98686	0.00613	1	0.04484	-0.02204	1.02203	0.00638	0	0.66719	0.37130	0	0
1046918	17211.01172	2482056247478	-1.61221	-3.88671	17209.80664	0.10352	1671	0	-6.72805	-5.75946	0	-0.60558	-3.45781	1	-0.60558	-3.45781	1	0.19277	0.62481	20.47935	1.00000	1	0.62802	0.64476	24.32684	1.00000	1	-0.08215	-0.02794	0.98686	0.00645	1	0.04484	-0.02204	1.02203	0.00639	0	0.66719	0.37130	0	0
1046919	17211.02734	2482056411474	-1.10889	-3.67226	17209.80664	0.10352	1671	0	-6.72805	-5.75946	0	-0.60558	-3.45781	1	-0.60558	-3.45781	1	0.19107	0.62580	18.14026	1.00000	1	0.62850	0.64326	24.51947	1.00000	1	-0.08215	-0.02794	0.98686	0.00640	1	0.04484	-0.02204	1.02203	0.00647	0	0.66719	0.37130	0	0
1046920	17211.04297	2482056575709	-0.85224	-3.78847	17209.80664	0.10352	1671	0	-6.72805	-5.75946	0	-0.33894	-4.02088	1	-0.33894	-4.02088	1	0.19309	0.62437	15.22341	1.00000	1	0.62696	0.64282	22.68792	1.00000	1	-0.08215	-0.02794	0.98686	0.00516	1	0.04484	-0.02204	1.02203	0.00647	0	0.66719	0.37130	0	0
1046921	17211.06055	2482056742888	-1.36696	-4.26087	17209.80664	0.10352	1671	0	-6.05159	-6.58763	1	-0.26111	-4.02021	1	-3.15635	-5.30392	1	0.19287	0.61747	17.70219	1.00000	1	0.62591	0.64187	22.59249	1.00000	1	-0.08215	-0.02794	0.98686	0.00531	1	0.04484	-0.02204	1.02203	0.00607	0	0.66719	0.37130	0	0
1046922	17211.07617	2482056905111	-0.81403	-4.14054	17209.80664	0.10352	1671	0	-6.05159	-6.58763	0	-0.26111	-4.02021	1	-0.26111	-4.02021	1	0.19287	0.61747	17.70219	1.00000	0	0.62453	0.64571	18.53328	1.00000	1	-0.08215	-0.02794	0.98686	0.00531	1	0.04484	-0.02204	1.02203	0.00597	0	0.66719	0.37130	0	0
1046923	17211.09375	2482057068412	-0.81403	-4.14054	17209.80664	0.10352	1671	0	-6.05159	-6.58763	0	-0.26111	-4.02021	0	-0.26111	-4.02021	0	0.19287	0.61747	17.70219	1.00000	0	0.62100	0.64373	22.07986	1.00000	1	-0.08215	-0.02794	0.98686	0.00531	1	0.04484	-0.02204	1.02203	0.00574	0	0.66719	0.37130	0	0
1046924	17211.10938	2482057233813	-0.70427	-3.81319	17209.80664	0.10352	1671	0	-6.05159	-6.58763	0	-1.14744	-3.60617	1	-1.14744	-3.60617	1	0.19287	0.61747	17.70219	1.00000	0	0.61968	0.64388	22.41287	1.00000	1	-0.08215	-0.02794	0.98686	0.00531	1	0.04484	-0.02204	1.02203	0.00584	0	0.66719	0.37130	0	0
1046925	17211.12500	2482057397185	-0.92586	-3.70968	17209.80664	0.10352	1671	0	-6.05159	-6.58763	0	-1.14744	-3.60617	1	-1.14744	-3.60617	1	0.19287	0.61747	17.70219	1.00000	0	0.61728	0.64398	22.47678	1.00000	1	-0.08215	-0.02794	0.98686	0.00531	1	0.04484	-0.02204	1.02203	0.00589	0	0.66719	0.37130	0	0
1046926	17211.14258	2482057562173	-0.90586	-3.66651	17209.80664	0.10352	1671	0	-6.05159	-6.58763	0	-0.86586	-3.58016	1	-0.86586	-3.58016	1	0.19287	0.61747	17.70219	1.00000	0	0.61630	0.64438	21.96689	1.00000	1	-0.08215	-0.02794	0.98686	0.00531	1	0.04484	-0.02204	1.02203	0.00605	0	0.66719	0.37130	0	0
