CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
67317	1108.20361	971830734653	0.00000	0.00000	1106.62634	0.27930	2026	0	0.71562	1.69110	0	0.37912	2.20459	0	0.71562	1.69110	0	0.70795	0.46604	16.07913	1.00000	0	0.70905	0.47188	14.19153	1.00000	0	-0.03282	0.01569	0.51963	0.00650	1	0.03624	0.00263	0.51981	0.00479	1	0.28906	0.27963	0	0
67318	1108.22009	971830899325	0.00000	0.00000	1106.62634	0.27930	2026	0	0.71562	1.69110	0	0.37912	2.20459	0	0.71562	1.69110	0	0.70795	0.46604	16.07913	1.00000	0	0.70905	0.47188	14.19153	1.00000	0	-0.03282	0.01569	0.51963	0.00650	1	0.03624	0.00263	0.51981	0.00479	1	0.28906	0.27963	0	0
67319	1108.22205	971830919697	0.00000	0.00000	1106.62634	0.27930	2026	0	0.71562	1.69110	0	0.37912	2.20459	0	0.71562	1.69110	0	0.70795	0.46604	16.07913	1.00000	0	0.70905	0.47188	14.19153	1.00000	0	-0.03282	0.01569	0.51963	0.00650	1	0.03624	0.00263	0.51981	0.00479	1	0.28906	0.27963	0	0
67320	1108.25281	971831227562	0.00000	0.00000	1106.62634	0.27930	2026	0	0.71562	1.69110	0	0.37912	2.20459	0	0.71562	1.69110	0	0.70795	0.46604	16.07913	1.00000	0	0.70905	0.47188	14.19153	1.00000	0	-0.03282	0.01569	0.51963	0.00650	1	0.03624	0.00263	0.51981	0.00479	1	0.28906	0.27963	0	0
67321	1108.26929	971831392052	0.00000	0.00000	1106.62634	0.27930	2026	0	0.71562	1.69110	0	0.37912	2.20459	0	0.71562	1.69110	0	0.70795	0.46604	16.07913	1.00000	0	0.70905	0.47188	14.19153	1.00000	0	-0.03282	0.01569	0.51963	0.00650	1	0.03624	0.00263	0.51981	0.00479	1	0.28906	0.27963	0	0
67322	1108.28589	971831557421	0.00000	0.00000	1106.62634	0.27930	2026	0	0.71562	1.69110	0	0.37912	2.20459	0	0.71562	1.69110	0	0.70795	0.46604	16.07913	1.00000	0	0.70905	0.47188	14.19153	1.00000	0	-0.03282	0.01569	0.51963	0.00650	1	0.03624	0.00263	0.51981	0.00479	1	0.28906	0.27963	0	0
67323	1108.30212	971831720087	0.00000	0.00000	1106.62634	0.27930	2026	0	0.71562	1.69110	0	0.37912	2.20459	0	0.71562	1.69110	0	0.70795	0.46604	16.07913	1.00000	0	0.70905	0.47188	14.19153	1.00000	0	-0.03282	0.01569	0.51963	0.00650	1	0.03624	0.00263	0.51981	0.00479	1	0.28906	0.27963	0	0
67324	1108.31848	971831883983	0.00000	0.00000	1106.62634	0.27930	2026	0	0.71562	1.69110	0	0.37912	2.20459	0	0.71562	1.69110	0	0.70795	0.46604	16.07913	1.00000	0	0.70905	0.47188	14.19153	1.00000	0	-0.03282	0.01569	0.51963	0.00650	1	0.03624	0.00263	0.51981	0.00479	1	0.28906	0.27963	0	0
67325	1108.33496	971832048721	0.00000	0.00000	1106.62634	0.27930	2026	0	0.71562	1.69110	0	0.37912	2.20459	0	0.71562	1.69110	0	0.70795	0.46604	16.07913	1.00000	0	0.70905	0.47188	14.19153	1.00000	0	-0.03282	0.01569	0.51963	0.00650	1	0.03624	0.00263	0.51981	0.00479	1	0.28906	0.27963	0	0
67326	1108.35144	971832212814	0.00000	0.00000	1106.62634	0.27930	2026	0	0.71562	1.69110	0	0.37912	2.20459	0	0.71562	1.69110	0	0.70795	0.46604	16.07913	1.00000	0	0.70905	0.47188	14.19153	1.00000	0	-0.03282	0.01569	0.51963	0.00650	1	0.03624	0.00263	0.51981	0.00479	1	0.28906	0.27963	0	0
67327	1108.36780	971832376430	0.00000	0.00000	1106.62634	0.27930	2026	0	0.71562	1.69110	0	0.37912	2.20459	0	0.71562	1.69110	0	0.70795	0.46604	16.07913	1.00000	0	0.70905	0.47188	14.19153	1.00000	0	-0.03282	0.01569	0.51963	0.00650	1	0.03624	0.00263	0.51981	0.00479	1	0.28906	0.27963	0	0
67328	1108.38428	971832541780	0.00000	0.00000	1106.62634	0.27930	2026	0	0.71562	1.69110	0	0.37912	2.20459	0	0.71562	1.69110	0	0.70795	0.46604	16.07913	1.00000	0	0.70905	0.47188	14.19153	1.00000	0	-0.03282	0.01569	0.51963	0.00650	1	0.03624	0.00263	0.51981	0.00479	1	0.28906	0.27963	0	0
67329	1108.40027	971832701967	0.00000	0.00000	1106.62634	0.27930	2026	0	0.71562	1.69110	0	0.37912	2.20459	0	0.71562	1.69110	0	0.70795	0.46604	16.07913	1.00000	0	0.70905	0.47188	14.19153	1.00000	0	-0.03282	0.01569	0.51963	0.00650	1	0.03624	0.00263	0.51981	0.00479	1	0.28906	0.27963	0	0
67330	1108.41663	971832865142	0.00000	0.00000	1106.62634	0.27930	2026	0	0.71562	1.69110	0	0.37912	2.20459	0	0.71562	1.69110	0	0.70795	0.46604	16.07913	1.00000	0	0.70905	0.47188	14.19153	1.00000	0	-0.03282	0.01569	0.51963	0.00650	1	0.03624	0.00263	0.51981	0.00479	1	0.28906	0.27963	0	0
67331	1108.43298	971833028200	0.00000	0.00000	1106.62634	0.27930	2026	0	0.71562	1.69110	0	0.37912	2.20459	0	0.71562	1.69110	0	0.70795	0.46604	16.07913	1.00000	0	0.70905	0.47188	14.19153	1.00000	0	-0.03282	0.01569	0.51963	0.00650	1	0.03624	0.00263	0.51981	0.00479	1	0.28906	0.27963	0	0
67332	1108.44958	971833194488	0.00000	0.00000	1106.62634	0.27930	2026	0	0.71562	1.69110	0	0.37912	2.20459	0	0.71562	1.69110	0	0.70795	0.46604	16.07913	1.00000	0	0.70905	0.47188	14.19153	1.00000	0	-0.03282	0.01569	0.51963	0.00650	1	0.03624	0.00263	0.51981	0.00479	1	0.28906	0.27963	0	0
67333	1108.46594	971833358337	0.00000	0.00000	1106.62634	0.27930	2026	0	0.71562	1.69110	0	0.37912	2.20459	0	0.71562	1.69110	0	0.70795	0.46604	16.07913	1.00000	0	0.70905	0.47188	14.19153	1.00000	0	-0.03282	0.01569	0.51963	0.00650	1	0.03624	0.00263	0.51981	0.00479	1	0.28906	0.27963	0	0
67334	1108.48230	971833522010	0.00000	0.00000	1106.62634	0.27930	2026	0	0.71562	1.69110	0	0.37912	2.20459	0	0.71562	1.69110	0	0.70795	0.46604	16.07913	1.00000	0	0.70905	0.47188	14.19153	1.00000	0	-0.03282	0.01569	0.51963	0.00650	1	0.03624	0.00263	0.51981	0.00479	1	0.28906	0.27963	0	0
67335	1108.49878	971833686777	0.00000	0.00000	1106.62634	0.27930	2026	0	0.71562	1.69110	0	0.37912	2.20459	0	0.71562	1.69110	0	0.70795	0.46604	16.07913	1.00000	0	0.70905	0.47188	14.19153	1.00000	0	-0.03282	0.01569	0.51963	0.00650	1	0.03624	0.00263	0.51981	0.00479	1	0.28906	0.27963	0	0
