,CNT,TIME,TIME_TICK,FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,USER,IMGID,FPOGXp,FPOGYp
0,6970808,145659.67188,3766542817442,0.47324,0.52225,145659.21875,0.45312,4966,1,0.39616,0.56573,1,0.54166,0.56273,1,0.22302,0.64189,29.88117,1.0,1,0.60745,0.66705,30.65624,1.0,1,TRIALSTART 0,IMG22.PNG,289.63432727272726,423.43999999999994
1,6970809,145659.6875,3766542987077,0.47552,0.52394,145659.21875,0.46875,4966,1,0.47431,0.55178,1,0.60485,0.59075,1,0.22344,0.64166,29.68487,1.0,1,0.60793,0.66718,30.76071,1.0,1,TRIALSTART 0,IMG22.PNG,291.7568,425.0132363636363
2,6970810,145659.70312,3766543152213,0.47766,0.52551,145659.21875,0.48438,4966,1,0.47431,0.55178,1,0.60485,0.59075,1,0.22367,0.6416,29.79648,1.0,1,0.60827,0.66759,30.569,1.0,1,IMAGENAME IMG22.PNG,IMG22.PNG,293.7489454545454,426.4747636363636
3,6970811,145659.71875,3766543311934,0.47767,0.5266,145659.21875,0.5,4966,1,0.47293,0.50121,1,0.48278,0.61721,1,0.22477,0.6415,29.88574,1.0,1,0.60931,0.66758,30.76454,1.0,1,0,IMG22.PNG,293.7582545454545,427.48945454545446
4,6970812,145659.73438,3766543475473,0.47735,0.52578,145659.21875,0.51562,4966,1,0.4277,0.48411,1,0.50766,0.51628,1,0.2251,0.64138,29.7947,1.0,1,0.60964,0.6674,30.74605,1.0,1,IMAGE ONLINE AT 154324,IMG22.PNG,293.4603636363636,426.72610909090906
5,6970813,145659.75,3766543640740,0.47706,0.525,145659.21875,0.53125,4966,1,0.4277,0.48411,1,0.50766,0.51628,1,0.22546,0.64094,30.05159,1.0,1,0.61005,0.66773,30.77028,1.0,1,0,IMG22.PNG,293.19039999999995,426.0
6,6970814,145659.76562,3766543804050,0.47883,0.52254,145659.21875,0.54688,4966,1,0.4477,0.43975,1,0.62662,0.44279,1,0.22616,0.64162,29.43892,1.0,1,0.61055,0.66826,30.68678,1.0,1,0,IMG22.PNG,294.83810909090903,423.7099636363636
7,6970815,145659.78125,3766543968128,0.47937,0.5207,145659.21875,0.5625,4966,1,0.46614,0.44327,1,0.52961,0.47313,1,0.22615,0.6411,30.15297,1.0,1,0.61072,0.66836,30.86379,1.0,1,0,IMG22.PNG,295.3408,421.9970909090909
8,6970816,145659.79688,3766544133530,0.47989,0.51896,145659.21875,0.57812,4966,1,0.46614,0.44327,1,0.52961,0.47313,1,0.2263,0.64101,30.30126,1.0,1,0.61082,0.66845,30.80935,1.0,1,0,IMG22.PNG,295.8248727272727,420.377309090909
9,6970817,145659.8125,3766544296496,0.47978,0.51869,145659.21875,0.59375,4966,1,0.45623,0.50584,1,0.49538,0.51206,1,0.2261,0.64032,30.32115,1.0,1,0.61063,0.66882,30.73283,1.0,1,0,IMG22.PNG,295.7224727272727,420.12596363636357
10,6970818,145659.82812,3766544461031,0.48025,0.51963,145659.21875,0.60938,4966,1,0.41208,0.63194,1,0.58338,0.4766,1,0.22592,0.64007,30.61348,1.0,1,0.61051,0.66877,30.72572,1.0,1,0,IMG22.PNG,296.15999999999997,421.00101818181815
11,6970819,145659.84375,3766544626417,0.4807,0.52052,145659.21875,0.625,4966,1,0.41208,0.63194,1,0.58338,0.4766,1,0.22582,0.63997,30.6313,1.0,1,0.61045,0.6686,30.76495,1.0,1,0,IMG22.PNG,296.57890909090906,421.8295272727272
12,6970820,145659.85938,3766544789542,0.48024,0.52055,145659.21875,0.64062,4966,1,0.41684,0.61598,1,0.50777,0.42765,1,0.22536,0.63934,30.66653,1.0,1,0.60989,0.66831,30.79366,1.0,1,0,IMG22.PNG,296.1506909090909,421.85745454545446
13,6970821,145659.875,3766544954966,0.48132,0.51955,145659.21875,0.65625,4966,1,0.48306,0.53638,1,0.56615,0.42254,1,0.22514,0.63886,31.19325,1.0,1,0.60978,0.66817,30.80512,1.0,1,0,IMG22.PNG,297.1560727272727,420.92654545454536
14,6970822,145659.89062,3766545118110,0.48235,0.51859,145659.21875,0.67188,4966,1,0.48306,0.53638,1,0.56615,0.42254,1,0.22488,0.63979,29.72145,1.0,1,0.60957,0.66788,30.67644,1.0,1,0,IMG22.PNG,298.11490909090907,420.03287272727266
15,6970823,145659.92188,3766545283503,0.48376,0.5194,145659.21875,0.70312,4966,1,0.51627,0.48212,1,0.56938,0.62465,1,0.22471,0.63938,29.70932,1.0,1,0.60925,0.66737,30.7233,1.0,1,0,IMG22.PNG,299.4274909090909,420.78690909090903
16,6970824,145659.9375,3766545448538,0.50867,0.50363,145659.21875,0.70312,4966,0,0.59768,0.47891,1,0.55808,0.58918,1,0.22443,0.6385,30.41454,1.0,1,0.60911,0.66752,30.86943,1.0,1,0,IMG22.PNG,322.6164363636363,406.1064727272727
17,6970825,145659.95312,3766545611063,0.54327,0.51884,145659.21875,0.70312,4966,0,0.59768,0.47891,1,0.55808,0.58918,1,0.2243,0.63838,30.43055,1.0,1,0.60898,0.66742,30.9823,1.0,1,0,IMG22.PNG,354.8258909090909,420.26559999999995
18,6970826,145659.96875,3766545776435,0.53774,0.53195,145659.21875,0.70312,4966,0,0.568,0.55881,1,0.48535,0.55752,1,0.22402,0.63787,30.46963,1.0,1,0.60868,0.66718,30.70238,1.0,1,0,IMG22.PNG,349.6779636363636,432.4698181818182
26,6970834,145660.09375,3766547090586,0.53256,0.5033,145659.9375,0.15625,4967,1,0.49747,0.43268,1,0.71639,0.3789,1,0.22401,0.62769,28.65579,1.0,1,0.60809,0.65786,28.98407,1.0,1,0,IMG22.PNG,344.8558545454546,405.7992727272727
27,6970835,145660.10938,3766547254517,0.54641,0.4875,145659.9375,0.17188,4967,1,0.62244,0.41819,1,0.77518,0.20923,1,0.22348,0.62512,27.67385,1.0,1,0.6076,0.65566,28.62022,1.0,1,0,IMG22.PNG,357.7489454545454,391.09090909090907
28,6970836,145660.125,3766547418514,0.55352,0.47704,145659.9375,0.1875,4967,1,0.56108,0.35996,1,0.71665,0.34316,1,0.22327,0.62482,27.07457,1.0,1,0.60754,0.65477,28.72283,1.0,1,0,IMG22.PNG,364.36770909090905,381.3536
29,6970837,145660.14062,3766547583104,0.55962,0.46808,145659.9375,0.20312,4967,1,0.56108,0.35996,1,0.71665,0.34316,1,0.22319,0.62367,27.60194,1.0,1,0.60741,0.65439,28.59185,1.0,1,0,IMG22.PNG,370.04625454545453,373.0126545454545
30,6970838,145660.15625,3766547747755,0.56676,0.45409,145659.9375,0.21875,4967,1,0.57549,0.30349,1,0.75804,0.21289,1,0.2233,0.62298,26.76942,1.0,1,0.60751,0.65338,28.2022,1.0,1,0,IMG22.PNG,376.69294545454545,359.98923636363634
31,6970839,145660.17188,3766547911848,0.5875,0.40724,145659.9375,0.21875,4967,0,0.63308,0.27876,1,0.73211,0.1355,1,0.22359,0.62176,27.29844,1.0,1,0.60784,0.65309,27.98404,1.0,1,0,IMG22.PNG,396.0,316.3761454545454
32,6970840,145660.1875,3766548077695,0.63505,0.30719,145659.9375,0.21875,4967,0,0.63308,0.27876,1,0.73211,0.1355,1,0.22378,0.62108,27.65096,1.0,1,0.60817,0.65283,27.84224,1.0,1,0,IMG22.PNG,440.2647272727272,223.2386909090909
33,6970841,145660.20312,3766548239055,0.62948,0.28115,145659.9375,0.21875,4967,0,0.56542,0.26355,1,0.67129,0.1946,1,0.22492,0.61951,27.06621,1.0,1,0.60945,0.65231,27.16605,1.0,1,0,IMG22.PNG,435.0795636363636,198.9978181818182
34,6970842,145660.21875,3766548404836,0.64983,0.22587,145659.9375,0.21875,4967,0,0.6256,0.26103,1,0.67149,0.22177,1,0.22574,0.61872,26.80731,1.0,1,0.61017,0.65244,27.06128,1.0,1,0,IMG22.PNG,454.02356363636363,147.5371636363636
35,6970843,145660.25,3766548568823,0.64919,0.23363,145659.9375,0.21875,4967,0,0.6256,0.26103,1,0.67149,0.22177,1,0.22618,0.6186,26.41955,1.0,1,0.61064,0.65236,27.01541,1.0,1,0,IMG22.PNG,453.4277818181818,154.76101818181817
36,6970844,145660.26562,3766548733464,0.61925,0.22452,145659.9375,0.21875,4967,0,0.49659,0.22226,1,0.62216,0.19031,1,0.22736,0.61797,26.3832,1.0,1,0.61187,0.65291,26.64176,1.0,1,0,IMG22.PNG,425.5563636363636,146.28043636363634
43,6970851,145660.375,3766549883472,0.61613,0.20003,145660.21875,0.15625,4968,1,0.66105,0.23324,1,0.65773,0.1836,1,0.2277,0.61921,25.87913,1.0,1,0.61301,0.6549,25.60242,1.0,1,0,IMG22.PNG,422.6519272727272,123.48247272727274
