CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
6744135	141931.62500	3729262416846	1.11421	-3.05037	141931.26562	0.09375	4360	0	1.11421	-3.05037	1	2.85953	-13.06782	0	1.11421	-3.05037	1	0.68140	0.59931	21.12432	1.00000	1	0.69035	0.59198	20.64760	1.00000	0	0.00000	0.00000	0.00000	0.00819	0	0.02273	-0.00485	0.50216	0.00831	1	0.98906	0.99352	0	0
6744136	141931.67188	3729262838835	1.09918	-2.98996	141931.26562	0.09375	4360	0	1.06914	-2.86913	1	2.85953	-13.06782	0	1.06914	-2.86913	1	0.67875	0.59923	19.71434	1.00000	1	0.69035	0.59198	20.64760	1.00000	0	0.00000	0.00000	0.00000	0.00805	0	0.02273	-0.00485	0.50216	0.00831	1	0.98906	0.99352	0	0
6744137	141931.68750	3729263002887	1.15906	-3.21994	141931.26562	0.09375	4360	0	1.06914	-2.86913	0	1.29384	-3.74033	1	1.29384	-3.74033	1	0.26444	0.57064	15.32497	1.00000	1	0.67878	0.59905	19.82071	1.00000	1	0.00000	0.00000	0.00000	0.00568	0	0.02273	-0.00485	0.50216	0.00603	1	0.98906	0.99352	0	0
6744138	141931.70312	3729263168063	1.22645	-3.48014	141931.26562	0.09375	4360	0	1.06914	-2.86913	0	1.29384	-3.74033	1	1.29384	-3.74033	1	0.26351	0.56974	16.61158	1.00000	1	0.67719	0.59806	20.66261	1.00000	1	0.00000	0.00000	0.00000	0.00543	0	0.02273	-0.00485	0.50216	0.00604	1	0.98906	0.99352	0	0
6744139	141931.71875	3729263332767	1.27591	-3.66705	141931.26562	0.09375	4360	0	1.06914	-2.86913	0	1.37484	-4.04088	1	1.37484	-4.04088	1	0.26356	0.56922	16.73587	1.00000	1	0.67737	0.59810	20.42354	1.00000	1	0.00000	0.00000	0.00000	0.00549	0	0.02273	-0.00485	0.50216	0.00610	1	0.98906	0.99352	0	0
6744140	141931.73438	3729263496336	1.31969	-3.83207	141931.26562	0.09375	4360	0	1.06914	-2.86913	0	1.29040	-3.71499	1	1.29040	-3.71499	1	0.26349	0.56920	16.92113	1.00000	1	0.67713	0.59807	20.68708	1.00000	1	0.00000	0.00000	0.00000	0.00555	0	0.02273	-0.00485	0.50216	0.00609	1	0.98906	0.99352	0	0
6744141	141931.75000	3729263660741	1.30504	-3.77353	141931.26562	0.09375	4360	0	1.06914	-2.86913	0	1.29040	-3.71499	1	1.29040	-3.71499	1	0.26379	0.56947	16.50346	1.00000	1	0.67762	0.59945	19.46849	1.00000	1	0.00000	0.00000	0.00000	0.00549	0	0.02273	-0.00485	0.50216	0.00608	1	0.98906	0.99352	0	0
6744142	141931.76562	3729263825247	1.16773	-3.48064	141931.26562	0.09375	4360	0	0.47299	-1.87722	1	1.31320	-3.91252	1	0.89309	-2.89487	1	0.26396	0.56901	17.17777	1.00000	1	0.67770	0.59943	19.68981	1.00000	1	0.00000	0.00000	0.00000	0.00544	0	0.02273	-0.00485	0.50216	0.00610	1	0.98906	0.99352	0	0
6744143	141931.78125	3729263989502	1.06127	-3.37580	141931.26562	0.09375	4360	0	0.54080	-1.99758	1	1.45982	-5.03746	1	1.00031	-3.51752	1	0.26445	0.56833	17.52754	1.00000	1	0.67822	0.59850	20.36339	1.00000	1	0.00000	0.00000	0.00000	0.00554	0	0.02273	-0.00485	0.50216	0.00613	1	0.98906	0.99352	0	0
6744144	141931.79688	3729264155134	1.03079	-3.44666	141931.26562	0.09375	4360	0	0.54080	-1.99758	1	1.45982	-5.03746	1	1.00031	-3.51752	1	0.26514	0.56752	16.99137	1.00000	1	0.67869	0.59816	19.24992	1.00000	1	-0.04803	-0.00202	0.69438	0.00557	1	0.02273	-0.00485	0.50216	0.00601	1	0.98906	0.99352	0	0
