,CNT,TIME,TIME_TICK,FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,USER,IMGID,FPOGXp,FPOGYp
12,6746138,141964.5625,3729591746342,0.47185,0.52143,141964.35938,0.20312,4428,1,0.37355,0.5304,1,0.42472,0.49508,1,0.26473,0.44432,31.37419,1.0,1,0.68102,0.48756,32.24212,1.0,1,0,IMG22.PNG,288.3403636363636,422.6766545454545
13,6746139,141964.57812,3729591909277,0.46665,0.52081,141964.35938,0.21875,4428,1,0.37355,0.5304,1,0.42472,0.49508,1,0.26448,0.44555,31.44939,1.0,1,0.68081,0.48852,32.22101,1.0,1,0,IMG22.PNG,283.49963636363634,422.0994909090909
14,6746140,141964.59375,3729592073634,0.46529,0.52225,141964.35938,0.23438,4428,1,0.3837,0.58295,1,0.50887,0.50178,1,0.26398,0.44769,31.23393,1.0,1,0.6802,0.49088,32.23267,1.0,1,0,IMG22.PNG,282.23359999999997,423.43999999999994
15,6746141,141964.60938,3729592238310,0.46936,0.52531,141964.35938,0.25,4428,1,0.46448,0.55499,1,0.59608,0.58748,1,0.26348,0.44866,31.07453,1.0,1,0.67971,0.49159,32.25814,1.0,1,0,IMG22.PNG,286.0224,426.28858181818185
16,6746142,141964.625,3729592401937,0.47294,0.52801,141964.35938,0.26562,4428,1,0.46448,0.55499,1,0.59608,0.58748,1,0.26301,0.44907,31.24072,1.0,1,0.6793,0.49223,32.069,1.0,1,0,IMG22.PNG,289.35505454545455,428.8020363636363
17,6746143,141964.64062,3729592566313,0.47292,0.5315,141964.35938,0.28125,4428,1,0.47298,0.65645,1,0.47214,0.52517,1,0.26181,0.44964,31.38997,1.0,1,0.6781,0.4919,32.13541,1.0,1,0,IMG22.PNG,289.3364363636363,432.05090909090904
18,6746144,141964.65625,3729592730621,0.47049,0.5332,141964.35938,0.29688,4428,1,0.44092,0.60969,1,0.41265,0.51788,1,0.26132,0.44942,31.31477,1.0,1,0.67763,0.491,32.33291,1.0,1,0,IMG22.PNG,287.07432727272726,433.6334545454545
19,6746145,141964.67188,3729592895848,0.46831,0.53473,141964.35938,0.3125,4428,1,0.44092,0.60969,1,0.41265,0.51788,1,0.26094,0.4489,31.38098,1.0,1,0.67741,0.49023,32.16505,1.0,1,0,IMG22.PNG,285.0449454545454,435.05774545454545
20,6746146,141964.6875,3729593060440,0.46784,0.52923,141964.35938,0.32812,4428,1,0.37472,0.36771,1,0.5425,0.47102,1,0.26126,0.44519,31.24692,1.0,1,0.67714,0.48506,32.16135,1.0,1,0,IMG22.PNG,284.60741818181816,429.9377454545454
21,6746147,141964.70312,3729593225203,0.46777,0.52418,141964.35938,0.34375,4428,1,0.41862,0.51169,1,0.51401,0.32438,1,0.26172,0.44424,29.87944,1.0,1,0.67739,0.48293,31.87925,1.0,1,0,IMG22.PNG,284.54225454545457,425.2366545454545
22,6746148,141964.71875,3729593389557,0.46771,0.51956,141964.35938,0.35938,4428,1,0.41862,0.51169,1,0.51401,0.32438,1,0.26224,0.44226,30.30559,1.0,1,0.67765,0.4811,31.40948,1.0,1,0,IMG22.PNG,284.4864,420.9358545454545
23,6746149,141964.73438,3729593552082,0.46632,0.50877,141964.35938,0.375,4428,1,0.40543,0.21899,1,0.46302,0.30178,1,0.26318,0.44237,29.69024,1.0,1,0.67877,0.48092,31.24783,1.0,1,0,IMG22.PNG,283.1924363636364,410.8913454545454
24,6746150,141964.75,3729593716328,0.46661,0.4997,141964.35938,0.39062,4428,1,0.50245,0.23215,1,0.44493,0.33229,1,0.26365,0.44211,29.99291,1.0,1,0.67927,0.48103,31.39142,1.0,1,0,IMG22.PNG,283.4624,402.4479999999999
46,6746172,141965.125,3729597332116,0.37073,0.16983,141964.92188,0.20312,4429,1,0.35912,0.02357,1,0.25349,0.21031,1,0.24645,0.45497,23.36802,1.0,1,0.66066,0.49664,24.52642,1.0,1,0,IMG22.PNG,194.20683636363634,95.36901818181818
63,6746189,141965.40625,3729600124939,0.24377,0.13343,141965.1875,0.21875,4430,1,0.1634,0.11991,1,0.27305,0.13398,1,0.23917,0.46549,22.18312,1.0,1,0.65368,0.51051,23.80534,1.0,1,0,IMG22.PNG,76.01861818181817,61.483927272727264
64,6746190,141965.42188,3729600288720,0.24206,0.133,141965.1875,0.23438,4430,1,0.1634,0.11991,1,0.27305,0.13398,1,0.23919,0.4668,22.19529,1.0,1,0.65388,0.51125,23.69239,1.0,1,0,IMG22.PNG,74.42676363636363,61.083636363636366
