CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
62682	1031.13892	4626901645150	0.00000	0.00000	1004.50769	0.26294	716	0	-1.65719	0.21353	0	-5.09490	0.41371	0	-1.65719	0.21353	0	0.05438	0.97458	37.55360	1.00000	0	0.08387	0.94929	43.96577	0.93334	1	-0.03285	-0.01583	0.63961	0.01110	1	0.03399	-0.02549	0.63080	0.01366	1	0.47969	0.67685	0	0
62683	1031.15552	4626901811502	0.00000	0.00000	1004.50769	0.26294	716	0	-1.65719	0.21353	0	-5.09490	0.41371	0	-1.65719	0.21353	0	0.05438	0.97458	37.55360	1.00000	0	0.08365	0.94990	45.89037	0.93334	1	-0.03285	-0.01583	0.63961	0.01110	1	0.03399	-0.02549	0.63080	0.01364	1	0.47969	0.67685	0	0
62684	1031.17188	4626901974687	0.00000	0.00000	1004.50769	0.26294	716	0	-1.65719	0.21353	0	-5.09490	0.41371	0	-1.65719	0.21353	0	0.05438	0.97458	37.55360	1.00000	0	0.08238	0.94986	46.12004	0.93334	1	-0.03285	-0.01583	0.63961	0.01110	1	0.03399	-0.02549	0.63080	0.01385	1	0.47969	0.67685	0	0
62685	1031.18835	4626902140210	0.00000	0.00000	1004.50769	0.26294	716	0	-1.65719	0.21353	0	-5.09490	0.41371	0	-1.65719	0.21353	0	0.05438	0.97458	37.55360	1.00000	0	0.08321	0.95248	45.24347	0.93334	1	-0.03285	-0.01583	0.63961	0.01110	1	0.03399	-0.02549	0.63080	0.01412	1	0.47969	0.67685	0	0
62686	1031.20483	4626902304156	0.00000	0.00000	1004.50769	0.26294	716	0	-1.65719	0.21353	0	-5.09490	0.41371	0	-1.65719	0.21353	0	0.05438	0.97458	37.55360	1.00000	0	0.07860	0.95120	46.58572	0.93334	1	-0.03285	-0.01583	0.63961	0.01110	1	0.03399	-0.02549	0.63080	0.01421	1	0.47969	0.67685	0	0
62687	1031.22107	4626902467416	0.00000	0.00000	1004.50769	0.26294	716	0	-1.65719	0.21353	0	-5.09490	0.41371	0	-1.65719	0.21353	0	0.05438	0.97458	37.55360	1.00000	0	0.07593	0.95214	47.52364	0.93334	1	-0.03285	-0.01583	0.63961	0.01110	1	0.03399	-0.02549	0.63080	0.01420	1	0.47969	0.67685	0	0
62688	1031.23767	4626902632659	0.00000	0.00000	1004.50769	0.26294	716	0	-1.65719	0.21353	0	-5.09490	0.41371	0	-1.65719	0.21353	0	0.05438	0.97458	37.55360	1.00000	0	0.07757	0.95138	48.14643	0.93334	1	-0.03285	-0.01583	0.63961	0.01110	1	0.03399	-0.02549	0.63080	0.01406	1	0.47969	0.67685	0	0
62689	1031.25391	4626902795369	0.00000	0.00000	1004.50769	0.26294	716	0	-1.65719	0.21353	0	-5.09490	0.41371	0	-1.65719	0.21353	0	0.05438	0.97458	37.55360	1.00000	0	0.07085	0.94973	50.10323	0.93334	1	-0.03285	-0.01583	0.63961	0.01110	1	0.03399	-0.02549	0.63080	0.01341	1	0.47969	0.67685	0	0
62690	1031.27026	4626902959547	0.00000	0.00000	1004.50769	0.26294	716	0	-1.65719	0.21353	0	-5.09490	0.41371	0	-1.65719	0.21353	0	0.05438	0.97458	37.55360	1.00000	0	0.06892	0.95056	49.11940	0.93334	1	-0.03285	-0.01583	0.63961	0.01110	1	0.03399	-0.02549	0.63080	0.01449	1	0.47969	0.67685	0	0
62691	1031.28674	4626903124198	0.00000	0.00000	1004.50769	0.26294	716	0	-1.65719	0.21353	0	-5.09490	0.41371	0	-1.65719	0.21353	0	0.05438	0.97458	37.55360	1.00000	0	0.07189	0.95730	52.00644	0.93334	1	-0.03285	-0.01583	0.63961	0.01110	1	0.03399	-0.02549	0.63080	0.01536	1	0.47969	0.67685	0	0
